D,rho,H,chave_kg,alvarez_kg,ratio,pct_diff
10,0.6,12.533527299725028,43.17280203012053,48.589364887315696,0.8885236950563812,-11.147630494361882
10.25,0.6,12.754653948016285,46.08465085990897,51.7141500485459,0.8911419953078157,-10.885800469218431
10.5,0.6,12.973306862357836,49.112231842903405,54.9537069567802,0.8937018913306253,-10.629810866937472
10.75,0.6,13.18951371630103,52.256858734890564,58.308987496020194,0.896205902022519,-10.379409797748096
11,0.6,13.403301873814414,55.51980369447297,61.78090390769986,0.8986563838143107,-10.134361618568931
11.25,0.6,13.614698392747044,58.90229828108109,65.37032998560262,0.9010555445269118,-9.894445547308816
11.5,0.6,13.82373002825304,62.40553442772653,69.07810222876506,0.9034054557703239,-9.659454422967606
11.75,0.6,14.030423236177787,66.0306653894273,72.90502095454744,0.9057080640659037,-9.429193593409636
12,0.6,14.234804176406321,69.7788066681773,76.85185137388467,0.9079652008473162,-9.203479915268375
12.25,0.6,14.436898716174206,73.65103691527867,80.91932463058426,0.9101785914738286,-8.982140852617137
12.5,0.6,14.636732433341388,77.64839881180643,85.10813880639444,0.9123498633713802,-8.765013662861975
12.75,0.6,14.834330619629453,81.77189992793173,89.41895989345224,0.9144805534012874,-8.551944659871257
13,0.6,15.029718283822609,86.0225135617876,93.85242273560426,0.9165721145433332,-8.342788545666679
13.25,0.6,15.222920154932924,90.40117955852651,98.40913193999259,0.9186259219688155,-8.137407803118446
13.5,0.6,15.4139606853301,94.90880511018231,103.08966276020897,0.9206432785694946,-7.935672143050542
13.75,0.6,15.60286405383628,99.54626553692036,107.89456195223282,0.9226254200002366,-7.737457999976338
14,0.6,15.789654168786187,104.31440505022864,112.82434860429791,0.9245735192860215,-7.542648071397851
14.25,0.6,15.97435467105309,109.21403749857792,117.87951494175454,0.9264886910379779,-7.351130896202207
14.5,0.6,16.15698893704085,114.24594709605246,123.06052710793625,0.9283719953177794,-7.162800468222064
14.75,0.6,16.337580081642546,119.41088913443159,128.36782592197792,0.930224441185205,-6.9775558814795025
15,0.6,16.516150961165977,124.70959067918018,133.80182761447915,0.9320469899596867,-6.795301004031328
15.25,0.6,16.69272417622644,130.14275124978664,139.36292454185482,0.9338405582232232,-6.6159441776776795
15.5,0.6,16.86732207460718,135.71104348486853,145.0514858801699,0.9356060205890085,-6.439397941099145
15.75,0.6,17.03996675408776,141.41511379244847,150.86785829921027,0.9373442122574939,-6.2655787742506135
16,0.6,17.210680065240876,147.2555829857875,156.8123666175086,0.9390559313792408,-6.094406862075918
16.25,0.6,17.379483614197863,153.23304690514763,162.88531443899464,0.9407419412419646,-5.925805875803536
