year,low,median,high
1,1.9991845493489442,2.9835084744274973,4.275863704858703
2,6.119140300002282,8.19484876144595,10.570502226236046
3,11.289601670965528,14.439371674547797,17.746057743894866
4,16.976306937731444,21.306029646176484,25.52456360972435
5,22.941942469923823,28.521134285713085,33.82412990090122
6,28.9028567818024,35.924244131294316,42.35879942963799
7,34.905701877702604,43.31865951255506,50.97781847406003
8,40.79290210998385,50.60114533017416,59.65491699735764
9,46.44866225037697,57.70153398632707,68.22882524367049
10,51.8755631506991,64.66510497063062,76.72551338734787
11,57.15936148453904,71.38245765036152,84.9596273357903
12,62.10849962814349,77.82781939923385,93.05136924067529
13,66.73481500642038,84.01653595880634,100.89635701841463
14,71.14082132254063,90.00910940517443,108.365681336502
15,75.20899784792759,95.67686674023903,115.63400675082565
16,79.02104208195897,101.04815117507022,122.566723130354
17,82.60279297422002,106.21352269948656,129.1939879712907
18,85.83744966039723,111.05591009437768,135.76972647830735
19,88.77507426029372,115.58383076282647,141.96254466373247
20,91.35601694920804,119.90014868978821,147.77085003344547
21,93.68269347551819,123.99240397903807,153.443601957546
22,95.63257347718229,127.81035964883483,158.89746311007036
23,97.55490764192407,131.34119195816112,163.94265007176625
24,99.2680627392967,134.7319133247605,168.70374549365047
25,100.7212613865577,137.74363063139856,173.31995222781876
26,102.00732763493741,140.6823162686955,177.79656479650973
27,103.00042880713437,143.3673128677063,182.02514826560173
28,103.60806957632708,145.92561823513572,185.93593204211996
29,104.29835743363483,148.26642208577246,189.73440270746812
30,104.63450706261949,150.32462657307275,193.58428392289244
31,104.887263366636,152.3178312798174,197.10229119866668
32,105.03808956302494,154.11349496685708,200.38527094695203
33,104.97496540824291,155.73035952524418,203.6629061601589
34,104.90599050760395,157.17972720899508,206.67235246050578
35,104.60731838807618,158.6096818837337,209.53962970350688
36,104.29726776675282,159.81434274303393,212.20440273645755
37,103.77970389360591,160.84102972170518,214.9267880402662
38,103.28410886225646,161.79830833790487,217.35817937420072
39,102.64370841803657,162.6083099866239,219.84981313554272
40,102.10449458192991,163.330714530406,222.03043563712302
